cid	text_comment	label	label_encoded
6882343591239565313	Nhược điểm duy nhất: xuống tông sạm đen vào cuối ngày😂. Nhưng khả năng bảo vệ miễn chê	pos	2
6883704234718855170	e này dùng thích lắm nhé😂mình đang dùng thấy nó thấm nhanh lắm dễ thoa mà k nâng tone nx😂mặt hay lên mụn dùng vẫn bt nc là ưng lắm	pos	2
6955423544113725441	mình củng đang xài dạng tuýp này.nó ko bị bết dính và lên tông nhẹ .mình rất thích🥰🥰	pos	2
6978487559790527233	Cảm ơn bác sĩ chị đang dùnh la roch thấy ok lắm	pos	2
6988765296563585793	cảm ơn a	pos	2
7003580392536720155	Mình dùng kem chống nắng này dc 2năm rồi. Ok chống nắng thì ko phải nghỉ 🥰	pos	2
7003582919507837723	mình xài thấy ok	pos	2
7003736168307196698	loại nay e xài hợp da dầu.k nhon rít, tham nhanh va tu nhien	pos	2
7003751328702841626	mik thấy rất ok	pos	2
7003789610740728603	Chuẩn thích hãng này ạ	pos	2
7004014615521379099	Chân ái chẳng bh thấy cay mắt hay vón cả	pos	2
7005811333699142402	e sd siêu hợp. 😁	pos	2
7009615908419650330	nam da dầu, vẫn dùng loại này, thoa lên tý là đều màu lại, quan trọng kiềm dầu tot, minh dung từ 13h đến tận 22h mình thấy rất ok luôn.	pos	2
7010272581379113754	Chân ái của em đó ạ	pos	2
7018193457009181466	@anhdaovo94 e đang sài loại này nè. Kìm dầu ok lắm nha	pos	2
7068980927703089922	Dạ cồn trong mỹ phẩm dùng để bảo quản nên có thể chấp nhận được.sp này dùng cho da nhạy cảm ok đã đc ghi trên bao bì sp ❤️	pos	2
7068987234229863169	da mình siêu khô dùng dạng sữa thấy ok. nhẹ tênh mội tội mau xuống tông, ngày dặm lại 2 3l thì ok.	pos	2
7068994218357981953	Đã gắn bó với vạch xanh gần 5 năm nay bs ạ. Tìm mãi ko có loại nào cùng tầm giá mà vượt đc e này🥰	pos	2
7068999986184487682	Da mình vạch xanh ok nhé. Kiềm dầu đỉnh, k xuống tông, k bị lên mụn. Có điều phải biết cách vã lên mặt tránh vón ghét	pos	2
7069027052048892673	Em xài lọ vuông cực hợp xài thích dã man 🥰🥰	pos	2
7069034944722862849	Vạch xanh dùng ok nè. Đang dùng vạch xanh, khi dùng nên dùng đến đâu bôi đến đó chứ đừng chấm trên mặt roiif tán dần	pos	2
7069036291820225282	Mình xài vạch vàng tới chai thứ 6 rồi. Mình xài treatment vẫn ok	pos	2
7069300300985418498	Ùi em đang tìm kcn để đưa vào routine skincare của mk lun ạ. Em cảm ơn nhieu ạ 🥰	pos	2
7074581481393636098	B có thể dùng thử em cerave facial moistuzing lotion pm ấy, dùng rất ok nè	pos	2
7074616012540510978	Mặt rồi xịt 1pum xịt khoáng vào tay sau đó tán đều theo chiều từ trong ra ngoài lớp finnish bao đẹp nhé . Mình thử hầu hết các dòng kcn tầm trung từ	pos	2
7074708006532809473	Trồi ôi nền mặt mà ẩm thì đúng kiểu thoa gì cũng đẹp lunnn ạ 😁	pos	2
7074777754021135105	🥰🥰🥰	pos	2
7074785560376083201	da mình trộm vía bôi kcn gì cũng ko vón dù trc đó bôi kem dưỡng hay chỉ lớp toner với vitC cũng ko vón lun	pos	2
7075157674937713410	Hay quá🥰	pos	2
7076285955305521922	xin vía da đẹp ạa	pos	2
7076388407454958337	đag dùg kiềm dầu siu đỉnh luôn,da mk da siu dầu hay chảy mồ hôi mà dùg rất là ưng	pos	2
7076456781337084673	thật may mắn e thấy video này🥰. trc h e toàn bị vón k hỉu sao	pos	2
7076663105656292098	Hợp là thích cực í	pos	2
7080016692222493441	lúc đầu mình bực cực, sau này mê luôn, loại này mình thấy nếu bôi theo cách vỗ đều thì siêu vón, mình bôi thoa đều thì không bị 🥰	pos	2
7080756504382784258	🥰🥰🥰🥰🥰🥰🥰🥰	pos	2
7082036389541987074	Mình cũng thích nó	pos	2
7082037087545393921	Thơm mùi hương hoa thật sự luôn ý, thế nhưng còn nồng mùi còn, ai quen sd những kcn của Nhật thì thấy bth nè, nói chung vẫn rất là ưng bản 2022 này	pos	2
7082120177114563333	I never believed you could cure me from HPV 2 I'm totally free and healthy now❤️thanks you @dr_yawo	pos	2
7082330416752968450	Hihi anh mới dùng đây thôi mà quá ưng	pos	2
7082362938849968897	Kcn này đúng là chân ái luôn	pos	2
7082393780876329730	chân ái luôn nè	pos	2
7082779267435840258	annesssssssa best chỗ đó rồi còn gì 🥺🥺🥺	pos	2
7087923175824458497	La roche posay mình đã tìm đc chân ái cho da dầu mụn bôi sau bước Serum HA kg hề vón ok lắm nhưng cần dưỡng ẩm hàng ngày nữa nhé	pos	2
7095603470841676546	da dầu mụn nhạy cảm số 15 là chân ái	pos	2
7095610167970726682	vichy mình đang dùng cũng thích lắm nâng tone nhẹ nữa phù hợp với mấy bạn da hỗn hợp thiên dầu á	pos	2
7097994982853870337	7. Ai mụn xài nắp xanh( má ơi bao đỉnh: vừa tiêu chí cho da dầu mụn + rẻ bèo)	pos	2
7103454289355834114	Anessa dùng rất ổn mà giá hơi chát,nếu da nhạy cảm nên chọn loại màu hồng tránh gây mụn. Còn loại aqua kia giá ok phù hợp mọi loại da dùng cũng ok	pos	2
7103540997409866497	minh đã dùng anessa 3nam rồi ko chê vào đâu đk	pos	2
7103754984348599042	Thơm mà😂	pos	2
7104439979983569666	Haha tốt mà	pos	2
7105826601291891457	Mình thích phiên bản cũ k mùi hơn. Tuy nhiên phiên bản này có nhiều dưỡng ẩm hơn. Da dầu dùng loại này ko bao giờ sai lầm	pos	2
7107154007957242651	mình dùng vạch xanh dương mà thoa êm ru . chả bh bị vón	pos	2
7107636166858457882	Em cungz thấy nâng tông và bóng	pos	2
7107645389142000410	M bôi kcn này thấy k bóng, có lên tone, finish đẹp, biết cách bôi nên k bị ra ghét🥰	pos	2
7107843400497775387	Buồn hen chứ tính ra e này thì chống nắng tốt phù hợp vs da treatment mà giá cũng ổn nữa 😭	pos	2
7110573556777435931	Ngoài kcn skin1004 ra thì đời tui chưa tìm thấy loại nào hợp hơn nữa, đó sd Tre nên giờ nó k đủ đô, mà tui cũng k ra nắng nhiều nên chắc cũng tạm ổn😂	pos	2
7110706192713155355	Mình da siêu dầu dùng k có bóng nâng tông nhẹ còn độ chống nắng đỉnh vãi mà chát quá	pos	2
7110924043814224667	con này t dùng lúc đầu hơi bóng mà khoảng 1 tiếng sau thấy ráo . đc cái chống nắng xịn . t săn sale mua 1 lúc 3,4 chai để dành 😂😂	pos	2
7110947602023826203	Có kháng nước nha	pos	2
7110968266336191259	Ai chê chứ tui xài từ ver cũ tới ver mới trộm vía ngon lành k bị vàng 🥰🥰	pos	2
7110983458910192411	Mình da ngăm đen mình dùng LRP vạch vàng dạng gel cream, da mình hhtk xài mùa này k lên mụn ẩn. Sau Avene bản cũ thì mình đã tìm được kcn chân ái	pos	2
7113539408087761690	Da đẹp gê	pos	2
7114272742635012890	Chị Linh mãi đỉnh	pos	2
7114274108687172379	Laroche mà biết bôi rồi thì bôi nhanh cực luôn á mn 😂 mn chú ý khúc dưỡng ẩm thôi, cá nhân tui hay xài kem dưỡng luôn, lúc vừa bôi xong da còn ẩm	pos	2
7114275016606663451	Rep cái e xỉu	pos	2
7114275654233965313	K có đam mê mỹ phẩm nhưng thích nghe c review :))))) nói như k cần lấy hơi luôn 😂	pos	2
7115432665797755675	Apply kem chống nắng nhẹ như không á, UVMune400 quá xuất sắc	pos	2
7115433895461815066	UVMune400 bôi lên da không hề bị vón lại luôn, thoáng da thật sự	pos	2
7115435706143163162	Không thích kem chống nắng dạng sữa nhưng anthelios UVMune400 làm mình phải thay đổi quan điểm, chất mềm mịn dễ thấm da khả năng chống nắng lại tuyệt	pos	2
7115628034538914586	Bạn em mua nhầm kem cn pha ke thơm hơn cả lăn nách nha các bác =)))))	pos	2
7115682205967532801	Ai chứ mấy bà da treatment hốt ngay em UVMune400. Chống tia uv	pos	2
7115685750309503771	UVMune400 thành phần lành tính an toàn cho da mà lại còn chống nắng đỉnh nữa	pos	2
7116566782592992026	UVA-UVB gặp UVMune400 phải gọi bằng cụ luôn	pos	2
7116830709814051611	Ngoài chống nắng UVMune400 còn chống tình trang ô nhiễm của môi trường nữa thật sự rất cần thiết	pos	2
7118935660208358170	Cảm ơn bạn đã tin dùng và yêu mến Anessa🥰	pos	2
7119025576979661595	Mới coi 1 vài clip thấy cùng gu với mình, nên quyết định mua những thứ b review 😅😅	pos	2
7119735367356220187	mk xài loại này lâu r 1 tuýt cỡ 400 mấy 500k đâu ra mà 1xx còn 1 tặng 1	pos	2
7122668687009514266	Tui thấy okela á	pos	2
7122677149773579034	Vừa đủ thì cồn vẫn dc mà nhỉ 🥰	pos	2
7122683159850697499	Mình nghĩ b còn mụn ẩn thì đi nặn r về dùng nia là oke nè	pos	2
7122683210898637594	Mê lắm ạ	pos	2
